"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"1","Aaron Nola","16149","PHI","Phillies",13,9,32,32,0,0,NA,195,794,178,90,83,22,203,39,NA,6,3.83509,1.11234,9.36359,1.79303,5.22222,0.996126,0.255782,0.0489796,0.20680271089077,NA,0.238095,0.298969,0.682081,3.31038,5.32131,3.7882,NA,NA,NA,NA,52.939998626709,26,"NL","16149",""
"2","Spencer Strider","27498","ATL","Braves",16,7,31,31,0,0,NA,176,713,132,69,64,21,254,53,NA,10,3.28386,1.05751,13.0241,2.72727,4.77551,1.05751,0.356164,0.0745814,0.281582966446877,NA,0.203673,0.297688,0.740997,2.96438,5.087,4.80095,NA,NA,NA,NA,6.19000005722046,16,"NL","27498",""
"3","Zack Wheeler","10310","PHI","Phillies",12,8,32,32,0,0,NA,192,797,173,84,77,18,192,54,NA,8,3.61047,1.18023,9,2.51163,3.58333,0.837209,0.241234,0.0673212,0.173913046717644,NA,0.235562,0.295745,0.708749,3.42365,5.07418,4.21804,NA,NA,NA,NA,24.6900005340576,26,"NL","10310",""
"4","Corbin Burnes","19361","BAL","Orioles",11,8,32,32,0,0,NA,194,788,157,81,75,17,206,59,NA,9,3.46347,1.11545,9.58728,2.76074,3.47273,0.803123,0.261644,0.0753425,0.186301358044147,NA,0.217391,0.280435,0.703829,3.3387,4.37197,4.23506,NA,NA,NA,NA,19.8700008392334,2,"AL","19361",""
"5","Logan Webb","17995","SFG","Giants",14,9,32,32,0,0,NA,201,824,189,80,74,17,173,43,NA,7,3.32812,1.15625,7.78125,1.92187,4.04878,0.75,0.21066,0.0520305,0.158629450947046,NA,0.244595,0.295699,0.726453,3.35921,4.33987,4.88774,NA,NA,NA,NA,51.8699989318848,30,"NL","17995",""
"6","Yoshinobu Yamamoto","sa3023345","LAD","Dodgers",16,8,29,29,0,0,NA,192,739,146,84,77,24,188,40,NA,6,3.62522,0.96906,8.82662,1.89142,4.66667,1.10333,0.254932,0.0546282,0.200303465127945,NA,0.210356,0.254079,0.666179,3.6053,4.33259,3.95234,NA,NA,NA,NA,37.8400001525879,22,"NL","sa3023345",""
"7","Kevin Gausman","14107","TOR","Blue Jays",13,8,32,32,0,0,NA,189,781,177,78,73,25,206,45,NA,3,3.46154,1.1716,9.79882,2.13018,4.6,1.1716,0.263233,0.0572246,0.206008579581976,NA,0.240854,0.302222,0.76555,3.53315,4.278,4.30468,NA,NA,NA,NA,30.6100006103516,14,"AL","14107",""
"8","Luis Castillo","15689","SEA","Mariners",13,9,32,32,0,0,NA,190,775,158,75,69,19,202,56,NA,6,3.26716,1.12309,9.54623,2.65457,3.59615,0.918888,0.260446,0.0724234,0.188022285699844,NA,0.221212,0.281319,0.746528,3.44789,4.21762,4.46078,NA,NA,NA,NA,30.4500007629395,11,"AL","15689",""
"9","Pablo López","17085","MIN","Twins",11,8,32,32,0,0,NA,188,772,164,83,77,22,204,49,NA,10,3.67876,1.13414,9.79275,2.33161,4.2,1.03627,0.264336,0.0629371,0.201398603618145,NA,0.229955,0.292035,0.710059,3.50835,4.01317,3.69677,NA,NA,NA,NA,34.7299995422363,8,"AL","17085",""
"10","Zach Eflin","13774","TBR","Rays",14,8,31,31,0,0,NA,172,701,160,69,65,19,168,28,NA,5,3.37423,1.09066,8.77301,1.47239,5.95833,0.981595,0.239933,0.0402685,0.199664440006018,NA,0.239437,0.293399,0.734012,3.29594,3.94991,3.8822,NA,NA,NA,NA,78.3499984741211,12,"AL","13774",""
"11","George Kirby","25436","SEA","Mariners",13,9,32,32,0,0,NA,188,772,181,78,73,21,169,30,NA,7,3.48214,1.125,8.08929,1.44643,5.59259,1.01786,0.218524,0.0390738,0.179450068622828,NA,0.246201,0.293033,0.732759,3.51695,3.93607,3.98055,NA,NA,NA,NA,32.9700012207031,11,"AL","25436",""
"12","Shane Bieber","19427","CLE","Guardians",10,8,31,31,0,0,NA,189,782,175,80,74,22,192,47,NA,5,3.51989,1.1733,9.16386,2.24545,4.08108,1.03169,0.245928,0.0602606,0.185667749494314,NA,0.239092,0.296296,0.739015,3.53825,3.89796,4.02236,NA,NA,NA,NA,150.369995117188,5,"AL","19427",""
"13","Max Fried","13743","ATL","Braves",15,7,31,31,0,0,NA,173,715,159,68,63,15,158,47,NA,5,3.27146,1.19103,8.21346,2.43619,3.37143,0.765661,0.220974,0.0655431,0.155430719256401,NA,0.240404,0.295082,0.743146,3.44066,3.80465,4.69706,NA,NA,NA,NA,60.7299995422363,16,"NL","13743",""
"14","Shota Imanaga","sa3023346","CHC","Cubs",9,6,29,29,0,0,NA,160,670,146,68,63,17,170,47,NA,7,3.54745,1.20438,9.59124,2.62774,3.65,0.985402,0.254355,0.0696864,0.184668995440006,NA,0.236742,0.299728,0.743056,3.55431,3.52857,3.61197,NA,NA,NA,NA,184.610000610352,17,"NL","sa3023346",""
"15","Framber Valdez","17295","HOU","Astros",15,8,31,31,0,0,NA,197,825,172,80,73,17,178,67,NA,12,3.3441,1.21163,8.14217,3.05331,2.66667,0.775444,0.216216,0.0810811,0.135135136544704,NA,0.230441,0.28131,0.740375,3.76123,3.38416,4.68861,NA,NA,NA,NA,57.2099990844727,21,"AL","17295",""
"16","Tarik Skubal","22267","DET","Tigers",8,8,29,29,0,0,NA,144,589,128,62,58,15,150,36,NA,4,3.64513,1.1379,9.37319,2.25651,4.15385,0.954677,0.254717,0.0613208,0.193396240472794,NA,0.232911,0.293478,0.711501,3.39005,3.35571,3.10061,NA,NA,NA,NA,49.5999984741211,6,"AL","22267",""
"17","Logan Gilbert","22250","SEA","Mariners",11,8,32,32,0,0,NA,191,788,175,80,74,22,176,50,NA,5,3.50521,1.17937,8.29402,2.36972,3.5,1.03675,0.222812,0.0636605,0.159151189029217,NA,0.238231,0.285156,0.743535,3.78164,3.33992,3.95979,NA,NA,NA,NA,61.4700012207031,11,"AL","22250",""
"18","Chris Bassitt","12304","TOR","Blue Jays",14,10,32,32,0,0,NA,198,826,185,91,84,24,172,52,NA,14,3.83538,1.19673,7.82837,2.36427,3.31111,1.10333,0.208683,0.0630252,0.145658262073994,NA,0.243531,0.285421,0.71754,4.10735,3.22191,3.49995,NA,NA,NA,NA,130.710006713867,14,"AL","12304",""
"19","Triston McKenzie","18000","CLE","Guardians",10,8,26,26,0,0,NA,160,650,141,68,63,21,158,41,NA,4,3.54194,1.14194,8.88387,2.32258,3.825,1.16129,0.242472,0.0633914,0.179080836474895,NA,0.23339,0.282609,0.744966,3.80988,3.21603,3.37517,NA,NA,NA,NA,219.550003051758,5,"AL","18000",""
"20","Dylan Cease","18525","SDP","Padres",9,8,31,31,0,0,NA,170,731,148,80,74,19,201,73,NA,7,3.90361,1.29518,10.6265,3.8494,2.76056,1.03012,0.275281,0.0997191,0.175561793148518,NA,0.227129,0.298329,0.727176,3.79118,3.20591,2.63392,NA,NA,NA,NA,105.559997558594,29,"NL","18525",""
"21","Carlos Rodón","16137","NYY","Yankees",12,9,29,29,0,0,NA,151,620,125,70,65,20,175,46,NA,7,3.85827,1.12861,10.3937,2.75591,3.77143,1.1811,0.282051,0.0747863,0.207264974713326,NA,0.219626,0.281139,0.703704,3.70123,3.1912,2.55345,NA,NA,NA,NA,135.240005493164,9,"AL","16137",""
"22","Eduardo Rodriguez","13164","ARI","Diamondbacks",14,10,31,31,0,0,NA,170,723,166,75,69,20,166,53,NA,4,3.65217,1.28986,8.80435,2.80435,3.13953,1.04348,0.229983,0.0732538,0.156729139387608,NA,0.249538,0.305128,0.751928,3.80576,3.12411,3.63839,NA,NA,NA,NA,192.839996337891,15,"NL","13164",""
"23","Jesús Luzardo","19959","MIA","Marlins",9,10,31,31,0,0,NA,173,727,154,80,75,23,196,60,NA,7,3.88235,1.23529,10.1765,3.11765,3.26415,1.17647,0.26947,0.0825545,0.186915881931782,NA,0.233276,0.297436,0.732919,3.84981,3.11982,3.33518,NA,NA,NA,NA,79.629997253418,20,"NL","19959",""
"24","Blake Snell","13543",NA,NA,13,8,29,29,0,0,NA,161,682,126,65,60,18,205,79,NA,3,3.36868,1.27261,11.4535,4.43543,2.58228,1.01061,0.300885,0.116519,0.184365786612034,NA,0.209732,0.286096,0.777405,3.7042,3.08941,4.01134,NA,NA,NA,NA,70.2399978637695,-1,NA,"13543",""
"25","Yu Darvish","13074","SDP","Padres",12,11,29,29,0,0,NA,177,725,156,84,78,23,170,46,NA,11,3.96421,1.14246,8.67171,2.35375,3.68421,1.17688,0.234506,0.0636516,0.170854285359383,NA,0.232727,0.278772,0.695839,3.99833,3.08583,2.66732,NA,NA,NA,NA,183.610000610352,29,"NL","13074",""
"26","Mitch Keller","17594","PIT","Pirates",10,11,32,32,0,0,NA,186,800,181,92,85,21,177,60,NA,12,4.11305,1.29886,8.55081,2.92243,2.92593,1.02826,0.22067,0.075419,0.145251393318176,NA,0.248848,0.301688,0.707497,4.01271,3.07526,3.0591,NA,NA,NA,NA,161.110000610352,27,"NL","17594",""
"27","Joe Musgrove","12970","SDP","Padres",12,6,29,29,0,0,NA,172,711,154,69,64,19,162,41,NA,15,3.3758,1.13942,8.47134,2.16561,3.91176,1.01911,0.22735,0.0581197,0.1692307703197,NA,0.235621,0.284615,0.750361,3.82121,3.02932,3.99118,NA,NA,NA,NA,90.5500030517578,29,"NL","12970",""
